City,Covid Cases
Tuensang,7910
Lakshmeshwar,24635
Zira,14026
Yawal,123952
Thana Bhawan,89483
Ramdurg,24648
Pulgaon,123914
Sadasivpet,11028
Nargund,24561
Neem-Ka-Thana,46316
Memari,47082
Nilanga,123797
Naharlagun,7642
Pakaur,11972
Wai,123761
Tarikere,24496
Malavalli,24478
Raisen,18721
Lahar,18723
Uravakonda,13665
Savanur,24388
Sirohi,46283
Udhampur,9012
Umarga,123687
Pratapgarh,46164
Lingsugur,24341
Usilampatti,131043
Palia Kalan,89111
Wokha,7525
Rajpipla,14718
Vijayapura,24190
Rawatbhata,46045
Sangaria,50522
Paithan,123508
Rahuri,123425
Patti,13562
Zaidpur,89015
Lalsot,46017
Maihar,18436
Degana,45971
Vedaranyam,130796
Nawapur,123448
Solan,18010
Vapi,14558
Almora,9783
Sanawad,18400
Warisaliganj,31538
Revelganj,31546
Sabalgarh,18331
Tuljapur,123355
Simdega,11521
Musabani,11547
Kodungallur,33191
Phulabani,9068
Umreth,14384
Narsipatnam,13458
Nautanwa,88930
Rajgir,31506
Yellandu,10522
Sathyamangalam,130681
Pilibanga,45786
Morshi,123276
Pehowa,14816
Sonepur,31403
Pappinisseri,33012
Zamania,88769
Mihijam,11384
Purna,123240
"Shikarpur, Bulandshahr",88735
Umaria,18151
Porsa,18151
Naugawan Sadat,88667
Faizabad,88694
Manuguru,10295
Ellenabad,14634
Udaipur,8018
Pipar City,45694
Nanjikottai,130468
Taranagar,45652
Yerraguntla,13064
Satana,123091
Sherghati,31244
Sankeshwara,23794
Madikeri,23712
Thuraiyur,130444
Sanand,14116
Rajula,14163
Kyathampalle,10246
"Shahabad, Rampur",88579
Tilda Newra,7164
Narsinghgarh,17960
Chittur-Thathamangalam,32842
Malaj Khand,17975
Sarangpur,17978
Robertsganj,88608
Sirkali,130397
Radhanpur,14091
Tiruchendur,130413
Utraula,88524
Patratu,11171
"Vijainagar, Ajmer",45533
Periyasemur,130335
Pathri,122925
Sadabad,88409
Talikota,23531
Sinnar,122835
Mungeli,7002
Sedam,23594
Shikaripur,23475
Sumerpur,45343
Sattur,130205
Sugauli,30995
Lumding,7221
Vandavasi,130204
Titlagarh,8458
Uchgaon,122808
Mokokchung,6736
Paschim Punropara,46045
Sagwara,45290
Ramganj Mandi,45321
Tarakeswar,45994
Mahalingapura,23416
Dharmanagar,7584
Mahemdabad,13777
Manendragarh,6855
Banaganipalli,12719
Uran,122670
Tharamangalam,129935
Tirukkoyilur,129973
Pen,122543
Mussoorie,8910
Makhdumpur,30715
Maner Sharif,30703
Oddanchatram,50577
Palladam,50530
Mundi,17472
Sitarganj,8920
Nabarangapur,8219
Mudalagi,23148
Samalkha,14064
Nepanagar,17403
Karjat,122427
Ranavav,13581
Pedana,12445
Lakheri,45000
Pasan,17371
Puttur,12485
Vadakkuvalliyur,129772
Tirukalukundram,129759
Muvattupuzha,32147
Rasra,87917
Udaipurwati,44889
Manwath,122384
Adoor,32165
Uthamapalayam,129745
Partur,122299
Nahan,16842
Rajesultanpur,87865
Ladwa,13869
Kotdwar,8625
Mankachar,6703
Nongstoin,6514
Nedumbassery,32046
Losal,44816
Ramngarh,44769
Mavelikkara,32000
Rawatsar,44714
Rajakhera,44715
Lar,87785
Lal Gopalganj Nindaura,87349
Muddebihal,22792
Sirsaganj,87750
Shahpura,44701
Surandai,129558
Sangole,122152
Pavagada,22745
Tharad,13265
Mansa,13192
Umargam,13236
Mavoor,31861
Nalbari,6481
Talaja,13206
Malur,22708
Mangrulpir,122051
Soro,7777
Shahpura,44637
Vadnagar,13227
Chamba,8425
Raisinghnagar,44655
Sindhagi,22377
Sanduru,22403
Sohna,13270
Manavadar,12814
Pihani,87637
Safidon,13540
Risod,122056
Rosera,30134
Sankari,129352
Malpura,44514
Sonamukhi,45191
Varandarappilly,31713
"Shamsabad, Agra",87524
Nokha,30110
Pandua,45144
Mainaguri,45159
Afzalpur,22613
Bagepalli,22606
Shirur,121886
Salaya,12993
Shenkottai,129245
Pratapgarh,6752
Nagarkurnool,9019
Savner,121831
Sasvad,121858
Rudrapur,87425
Soron,87429
Sholingur,129203
Pandharkaoda,121811
Perumbavoor,31556
Maddur,22499
Nadbai,44307
Talode,121749
Shrigonda,121810
Madhugiri,22436
Tekkalakote,22432
Seoni-Malwa,16645
Shirdi,121760
Suar,87285
Terdal,22370
Raver,121730
Tirupathur,129051
Taraori,13275
Mukhed,121728
Manachanallur,129033
Jaynagar Majilpur,44889
Rehli,16619
Sanchore,44281
Rajura,121671
Piro,29835
Mudabidri,22333
Vadgaon Kasba,121600
Nagar,44188
Vijapur,12777
Viswanatham,128951
Bajpur,8024
Polur,128947
Panagudi,128937
Manawar,16497
Pauri,7992
Samdhan,87121
Pardi,12676
Rahatgarh,16451
Panagar,16464
Uthiramerur,128912
Tirora,121566
Rangiya,5977
Sahjanwa,87085
Wara Seoni,16441
Magadi,22099
Rajgarh (Alwar),44078
Rafiganj,29622
Tarana,16434
Rampur Maniharan,87014
Sheoganj,43979
Raikot,11511
Sumerpur,86954
Navalgund,22065
Shahganj,86944
Marhaura,29550
Tulsipur,86941
Sadri,43965
Thiruthuraipoondi,128757
Shiggaon,22013
Pallapatti,128694
Mahendragarh,12928
Sausar,16270
Ponneri,128717
Mahad,121369
Lohardaga,9501
Aluva,31005
Tirwaganj,86905
Margherita,5706
Tehri,7651
Sundarnagar,15833
Rajgarh,16210
